Title,Website,Normalized_Website,City,State,Location,Lat,Lng
3B: The Downtown Brooklyn Bed & Breakfast,http://3bbrooklyn.com/ (Work),http://3bbrooklyn.com/,New York,NY,"New York, NY",40.7127753,-74.0059728
4th Tap Brewing Cooperative,http://4thtap.coop (Work),http://4thtap.coop,Austin,TX,"Austin, TX",30.267153,-97.7430608
A Bookkeeping Cooperative,http://www.bookkeeping.coop (Work),http://www.bookkeeping.coop,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
A Slice of New York,http://asliceofny.com (Work),http://asliceofny.com,San Jose,CA,"San Jose, CA",37.3382082,-121.8863286
A Yard & A Half Landscaping Cooperative,http://www.ayardandahalf.com/ (Work),http://www.ayardandahalf.com/,Waltham,MA,"Waltham, MA",42.3764852,-71.2356113
Access Cooperative,http://accessconsultingservices.org (Work),http://accessconsultingservices.org,Grafton,MA,"Grafton, MA",42.2070391,-71.6856236
Agaric,http://agaric.com (Work),http://agaric.com,Boston,MA,"Boston, MA",42.3600825,-71.0588801
AK Press,http://akpress.org (Work),http://akpress.org,Chico,CA,"Chico, CA",39.7284944,-121.8374777
Alberta Cooperative Grocery,http://www.albertagrocery.coop (Work),http://www.albertagrocery.coop,Portland,OR,"Portland, OR",45.5122308,-122.6587185
Alchemy Collective,http://alchemycollectivecafe.com (Work),http://alchemycollectivecafe.com,Berkeley,CA,"Berkeley, CA",37.8715926,-122.272747
Alexandria Union Cab,http://alexunioncab.com (Work),http://alexunioncab.com,Alexandria,VA,"Alexandria, VA",38.8048355,-77.0469214
Alliance Taxi Co-op,http://coop.cab (Work),http://coop.cab,Philadelphia,PA,"Philadelphia, PA",39.9525839,-75.1652215
Alvarado Street Bakery,http://alvaradostreetbakery.com (Work),http://alvaradostreetbakery.com,Petaluma,CA,"Petaluma, CA",38.232417,-122.6366524
AORTA Co-op | Anti-Oppression Resource and Training Alliance Cooperative,http://www.aorta.coop (Work),http://www.aorta.coop,Starksboro,VT,"Starksboro, VT",44.2272782,-73.0573427
Apple Eco-Cleaning,http://www.applegreencoop.com/ (Work),http://www.applegreencoop.com/,New York,NY,"New York, NY",40.7127753,-74.0059728
Arbor Assays,http://www.arborassays.com/ (Work),http://www.arborassays.com/,Ann Arbor,MI,"Ann Arbor, MI",42.2808256,-83.7430378
Arizmendi 9th Avenue,http://arizmendibakery.com (Work),http://arizmendibakery.com,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
Arizmendi Bakery Emeryville,http://arizmendi-bakery.org (Work),http://arizmendi-bakery.org,Emeryville,CA,"Emeryville, CA",37.831316,-122.2852473
Arizmendi Bakery Lakeshore,http://arizmendilakeshore.com/ (Work),http://arizmendilakeshore.com/,Oakland,CA,"Oakland, CA",37.8043637,-122.2711137
Arizmendi Bakery San Rafael,http://www.arizmendi-sanrafael.com/ (Work),http://www.arizmendi-sanrafael.com/,San Rafael,CA,"San Rafael, CA",37.9735346,-122.5310874
Arizmendi Bakery Valencia,http://valencia.arizmendi.coop (Work),http://valencia.arizmendi.coop,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
